"","respID","sys_StartTime","sys_EndTime","Time Taken","sys_SumPageTimes","sys_StartTimeStamp","sys_EndTimeStamp","sys_DataSource","sys_RespStatus","sys_RespRemoved","sys_DispositionCode","completion_status","sys_UserJavaScript","sys_UserAgent","sys_OperatingSystem","sys_Browser","sys_ScreenWidth","sys_CAPIDeviceID","PROLIFICPID","PID","AC1_1","AC1_2","AC1_3","AC1_4","AC1","AC2","AC3","AC4","Fixed_Task_Response","Choice1","Choice2","Choice3","Choice4","Choice5","Choice6","Choice7","Choice8","Choice9","Choice10","Choice11","Choice12","Choice13","Choice14","Choice15","Source_Imp","Expense_Imp","Benefit_Imp","Effort_Imp","Carbon_imp","Envt_r1","Envt_r2","Envt_r3","envt","Trust","Alt1","Alt2","Alt3","Alt4","Alt5","Alt6","altruism","Self_interest1","Self_interest2","Self_interest3","self_interest","Tradition1","Tradition2","Tradition3","traditionalism","Change1","Change2","Change3","open_to_change","home","feasibilitysolar","feasibilitygreen","bill","Zip","income","education","politics","politics_3_other","age","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","race_7_other","sys_CBCVersion_PilotDCE","sys_CBCDesignID_PilotDCE","sys_pagetime_1","sys_pagetime_2","sys_pagetime_3","sys_pagetime_4","sys_pagetime_5","sys_pagetime_6","sys_pagetime_7","sys_pagetime_8","sys_pagetime_9","sys_pagetime_10","sys_pagetime_11","sys_pagetime_12","sys_pagetime_13","sys_pagetime_14","sys_pagetime_15","sys_pagetime_16","sys_pagetime_17","sys_pagetime_18","sys_pagetime_19","sys_pagetime_20","sys_pagetime_21","sys_pagetime_22","sys_pagetime_23","sys_pagetime_24","sys_pagetime_25","sys_pagetime_26","sys_pagetime_27","sys_pagetime_28","sys_pagetime_29","sys_pagetime_30","sys_pagetime_31","sys_pagetime_32","sys_pagetime_33","sys_pagetime_34","sys_pagetime_35","sys_pagetime_36","sys_pagetime_37","sys_pagetime_38","sys_pagetime_39","sys_pagetime_40","sys_pagetime_41","sys_pagetime_42","sys_pagetime_43","sys_pagetime_44","att_score"
"11",20,"28 Feb 2022 - 17:01:09 CST","28 Feb 2022 - 17:17:10 CST",961,956,1646089269,1646090230,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0","Windows 10.0","Firefox 97.0",1448,NA,"5e14ee60b63853b11dc2b3f6","5e14ee60b63853b11dc2b3f6",0,0,1,1,"Correct","Correct","Correct","Correct","Correct",3,2,2,3,1,2,1,3,2,3,2,2,1,3,1,"Slightly Important","Extremely Important","Somewhat Important","Somewhat Important","Very Important","Agree","Agree","Agree",4,3,5,5,5,5,5,5,4.83333333333333,4,4,4,4.33333333333333,5,5,4,4.33333333333333,4,5,5,4.66666666666667,"Yes","Yes","No",100,89034,"75,000-99,999","Some College","Republican","","66-75","Male",1,0,0,0,0,0,0,0,"",20,"CBC1_1645635478_6",NA,26,8,37,25,53,23,24,51,29,27,28,17,28,15,9,28,14,42,35,35,19,23,8,18,13,29,6,12,11,13,8,16,9,11,27,34,70,38,7,6,7,10,7,4
"12",21,"28 Feb 2022 - 17:02:13 CST","28 Feb 2022 - 17:13:27 CST",674,670,1646089333,1646090007,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36","Mac OS X 10.13.6","Chrome 96.0.4664.110",1280,NA,"616c8e41ccfae5eec3c3d7f0","616c8e41ccfae5eec3c3d7f0",0,0,1,1,"Correct","Incorrect","Correct","Correct","Correct",2,3,3,2,2,3,3,3,1,3,3,1,3,1,2,"Somewhat Important","Extremely Important","Somewhat Important","Somewhat Important","Slightly Important","Neutral","Agree","Agree",3.66666666666667,5,3,4,5,3,5,5,4.16666666666667,3,2,3,3,4,5,4,4,3,3,4,3.33333333333333,"No","No","No",50,53593,"75,000-99,999","Bachelor's degree","Democrat","","26-35","Male",1,0,0,0,0,0,0,0,"",21,"CBC1_1645635478_6",NA,4,27,15,15,18,13,19,14,6,16,13,8,20,3,15,14,6,43,4,18,17,79,7,9,25,10,11,7,10,6,9,9,7,6,33,15,79,22,3,3,5,5,2,3
"13",22,"28 Feb 2022 - 17:10:08 CST","28 Feb 2022 - 17:15:47 CST",339,333,1646089808,1646090147,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36","Windows 10.0","Chrome 98.0.4758.102",2560,NA,"5cf5a8b77ce3400001c0bbf3","5cf5a8b77ce3400001c0bbf3",0,0,1,1,"Correct","Correct","Correct","Correct","Correct",2,1,2,2,1,1,2,2,2,2,2,3,3,1,2,"Extremely Important","Extremely Important","Very Important","Not at all important","Somewhat Important","Strongly Agree","Strongly Agree","Strongly Agree",5,1,3,3,6,3,6,6,4.5,3,2,2,2.66666666666667,4,6,2,4.33333333333333,5,2,3,3.33333333333333,"No","Dont Know","Dont Know",120,55414,"75,000-99,999","Some College","Other","Marxist-Leninist","18-25","Male",1,0,0,0,0,0,0,0,"",22,"CBC1_1645635478_6",NA,3,8,11,4,20,4,4,6,7,10,5,2,2,3,1,6,10,8,6,7,8,16,12,3,9,2,10,5,5,4,10,2,4,7,10,16,43,18,3,2,13,4,0,4
"14",23,"28 Feb 2022 - 17:10:14 CST","28 Feb 2022 - 17:18:45 CST",511,508,1646089814,1646090325,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36","Windows 10.0","Chrome 98.0.4758.102",1280,NA,"6111bb6c3442d79cd1483824","6111bb6c3442d79cd1483824",0,0,1,0,"Incorrect","Correct","Incorrect","Correct","Correct",2,2,2,1,2,1,1,1,1,2,2,1,1,1,1,"Very Important","Very Important","Very Important","Slightly Important","Very Important","Strongly Agree","Strongly Agree","Strongly Agree",5,2,5,5,5,5,5,5,4.83333333333333,4,1,2,2.66666666666667,5,5,5,5,5,5,5,5,"No","Yes","Yes",150,95843,"75,000-99,999","Graduate or Professional degree","Democrat","","26-35","Female",0,0,0,0,1,0,0,0,"",23,"CBC1_1645635478_6",NA,3,27,11,13,60,9,9,14,10,8,5,6,3,2,3,14,8,17,16,9,12,9,7,5,6,4,5,10,4,14,4,4,6,5,14,18,86,29,0,4,4,7,4,3
"15",24,"28 Feb 2022 - 17:10:57 CST","28 Feb 2022 - 17:27:18 CST",981,977,1646089857,1646090838,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36","Windows 10.0","Chrome 98.0.4758.102",1280,NA,"615e41558dc8efdab16afe00","615e41558dc8efdab16afe00",0,0,1,1,"Correct","Correct","Correct","Correct","Correct",2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,"Extremely Important","Somewhat Important","Slightly Important","Slightly Important","Extremely Important","Agree","Strongly Agree","Strongly Agree",4.66666666666667,1,5,5,5,4,5,4,4.33333333333333,3,1,3,2,2,5,5,4.66666666666667,4,5,4,4.33333333333333,"No","I already have solar PV","Dont Know",369,11756,"150,000-199,999","Some College","Other","I'm an independent; whichever seems to be willing to compromise","18-25","Non-Conforming",1,0,0,0,0,0,0,0,"",24,"CBC1_1645635478_6",NA,14,11,28,32,33,8,15,9,9,35,11,8,42,4,11,6,23,33,12,40,45,20,16,8,14,13,7,7,11,20,6,18,13,11,20,15,51,222,6,4,53,7,6,4
"16",25,"28 Feb 2022 - 17:11:56 CST","28 Feb 2022 - 17:28:05 CST",969,969,1646089916,1646090885,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36","Mac OS X 10.15.7","Chrome 98.0.4758.102",1434,NA,"61009eabd7328bc5c7365699","61009eabd7328bc5c7365699",0,0,1,1,"Correct","Correct","Correct","Correct","Correct",2,1,1,2,2,2,1,1,1,2,1,2,3,2,2,"Somewhat Important","Extremely Important","Very Important","Slightly Important","Somewhat Important","Agree","Strongly Agree","Strongly Agree",4.66666666666667,2,5,5,5,5,5,5,4.5,2,1,2,2,3,4,5,4.33333333333333,4,3,3,3.33333333333333,"No","No","Dont Know",80,10028,"25,000-49,999","Graduate or Professional degree","Democrat","","18-25","Female",0,1,0,1,0,0,0,0,"",25,"CBC1_1645635478_6",NA,11,7,18,142,26,29,12,16,15,13,12,16,14,8,4,10,9,26,15,23,47,24,21,16,20,16,14,26,32,22,16,21,12,11,49,35,113,22,6,6,6,6,2,4
"17",26,"28 Feb 2022 - 17:14:27 CST","28 Feb 2022 - 17:19:04 CST",277,277,1646090067,1646090344,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36","Windows 10.0","Chrome 98.0.4758.102",1366,NA,"612d38332f06289b42fbbafa","612d38332f06289b42fbbafa",0,0,1,0,"Incorrect","Incorrect","Incorrect","Correct","Correct",2,1,3,1,1,1,2,2,2,2,1,1,2,2,1,"Very Important","Somewhat Important","Somewhat Important","Slightly Important","Very Important","Agree","Neutral","Disagree",3,4,5,4,4,5,4,5,4.5,5,4,4,4.33333333333333,5,4,4,4.33333333333333,5,4,3,4,"No","No","No",46,49685,"Less than $25,000","Some College","Prefer not to answer","","18-25","Female",1,0,0,0,0,0,0,0,"",26,"CBC1_1645635478_6",NA,4,4,4,2,3,1,3,14,7,5,0,2,3,4,12,15,7,0,6,6,5,6,6,4,4,4,7,7,8,2,3,18,6,13,7,8,14,21,2,11,11,5,3,2
"18",27,"28 Feb 2022 - 17:21:19 CST","28 Feb 2022 - 17:31:50 CST",631,629,1646090479,1646091110,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15","Mac OS X 10.15.7","Safari 14.1.1",665,NA,"5f910e8e53814b228b0dad03","5f910e8e53814b228b0dad03",0,0,1,0,"Incorrect","Correct","Correct","Correct","Correct",1,3,1,1,1,3,1,2,2,3,1,2,1,2,2,"Extremely Important","Extremely Important","Not at all important","Not at all important","Extremely Important","Strongly Agree","Strongly Agree","Strongly Agree",5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"No","Yes","Yes",120,94518,"50,000-74,999","Some College","Democrat","","26-35","Male",1,0,0,0,1,0,0,0,"",27,"CBC1_1645635478_6",NA,4,8,34,20,14,12,19,33,40,14,16,11,8,8,6,24,20,20,22,14,23,9,10,14,13,12,9,14,9,4,9,9,7,6,19,22,43,21,4,7,7,7,4,4
"19",28,"28 Feb 2022 - 17:21:39 CST","28 Feb 2022 - 17:35:12 CST",813,809,1646090499,1646091312,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Mac OS X 10.15.7","Chrome 98.0.4758.109",1774,NA,"5fa315662ca5b25d05ae8236","5fa315662ca5b25d05ae8236",0,0,0,1,"Incorrect","Correct","Incorrect","Correct","Correct",2,2,3,1,1,3,2,1,2,2,2,1,1,1,2,"Somewhat Important","Extremely Important","Extremely Important","Somewhat Important","Slightly Important","Strongly Agree","Agree","Agree",4.33333333333333,3,3,5,4,3,6,5,4.33333333333333,3,3,3,3,3,6,3,4.33333333333333,4,4,3,3.66666666666667,"Yes","Yes","Yes",200,10011,"75,000-99,999","Bachelor's degree","Democrat","","46-55","Female",1,0,0,0,0,0,0,0,"",28,"CBC1_1645635478_6",NA,3,4,4,5,3,4,4,8,9,4,2,1,2,5,0,19,40,8,20,9,3,15,5,4,11,8,4,18,4,4,7,421,10,4,13,13,32,46,13,3,6,8,3,3
"20",29,"28 Feb 2022 - 17:21:52 CST","28 Feb 2022 - 17:28:30 CST",398,396,1646090512,1646090910,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Mac OS X 10.15.7","Chrome 98.0.4758.109",1440,NA,"5f7ce6c004767d1a439d4fdb","5f7ce6c004767d1a439d4fdb",0,0,1,1,"Correct","Correct","Correct","Correct","Correct",2,3,3,3,2,3,3,3,3,1,1,3,3,3,2,"Somewhat Important","Extremely Important","Very Important","Slightly Important","Somewhat Important","Agree","Agree","Agree",4,3,4,4,5,4,5,5,4.33333333333333,3,3,3,3.66666666666667,5,5,4,4.66666666666667,5,5,5,5,"No","Yes","Yes",200,10005,"150,000-199,999","Graduate or Professional degree","Democrat","","18-25","Female",0,0,0,1,0,0,0,0,"",29,"CBC1_1645635478_6",NA,6,5,9,14,14,6,15,7,5,9,6,5,6,7,4,7,7,9,6,14,9,10,6,7,7,6,7,4,6,6,7,7,6,5,11,15,33,61,5,4,5,6,2,4
"21",30,"28 Feb 2022 - 17:23:10 CST","28 Feb 2022 - 17:46:40 CST",1410,1408,1646090590,1646092000,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","Mac OS X 10.15.7","Chrome 98.0.4758.80",1377,NA,"60a494b9ce384122865f7175","60a494b9ce384122865f7175",0,0,1,1,"Correct","Correct","Correct","Correct","Correct",1,2,2,2,2,1,2,2,1,1,2,1,1,2,2,"Very Important","Very Important","Very Important","Somewhat Important","Somewhat Important","Strongly Agree","Strongly Agree","Agree",4.66666666666667,1,4,5,5,4,4,4,4,2,1,1,2,4,4,3,3.66666666666667,4,3,3,3.33333333333333,"Yes","Yes","No",350,33914,"Prefer not to answer","Some College","Democrat","","56-65","Female",0,0,0,1,0,0,0,0,"",30,"CBC1_1645635478_6",NA,33,5,33,33,39,13,20,35,11,17,23,32,15,16,10,13,15,24,8,72,34,28,35,22,30,25,69,33,70,18,33,40,38,42,23,147,151,48,6,5,12,24,8,4
